epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5809,1.75196,3.83386,1.19602,0.01457,0.484,0.03287,0.02419,1.11982,3.52497,0.90605,6.668e-05,6.668e-05,6.668e-05
2,50.2036,1.65201,3.47754,1.08813,0.01961,0.64925,0.10432,0.06469,1.39903,3.44378,0.94767,0.000148545,0.000148545,0.000148545
3,73.6927,1.72284,2.5843,1.00463,0.02144,0.69858,0.14025,0.06997,1.4009,3.27727,0.95433,0.000228759,0.000228759,0.000228759
4,97.1878,1.6168,1.76933,0.98574,0.02053,0.66722,0.16914,0.08688,1.36724,3.20178,0.96076,0.000307323,0.000307323,0.000307323
5,120.688,1.58114,1.56122,0.98495,0.02104,0.6621,0.22386,0.13734,1.41292,3.11739,0.97833,0.000384237,0.000384237,0.000384237
6,144.089,1.64721,1.43112,0.99525,0.02211,0.69023,0.23648,0.1415,1.43294,3.0818,0.98987,0.0004595,0.0004595,0.0004595
7,167.578,1.56406,1.32609,0.99886,0.02714,0.84184,0.28652,0.16297,1.28434,2.9662,0.98036,0.000533113,0.000533113,0.000533113
8,190.989,1.44543,1.28308,0.99024,0.0271,0.81631,0.25676,0.14386,1.38073,2.99681,1.02822,0.000605076,0.000605076,0.000605076
9,214.342,1.42294,1.24521,0.97446,0.96145,0.06196,0.27054,0.15846,1.46283,2.94021,1.05202,0.000675388,0.000675388,0.000675388
10,237.623,1.49178,1.20561,0.98394,1,0.03498,0.30164,0.17547,1.46731,2.92702,1.05913,0.00074405,0.00074405,0.00074405
11,260.994,1.48113,1.2385,0.98106,1,0.08601,0.39738,0.22239,1.53817,2.72823,1.10439,0.000811062,0.000811062,0.000811062
12,284.857,1.50118,1.23283,0.99051,1,0.10544,0.39542,0.21461,1.59553,2.74591,1.12994,0.000876424,0.000876424,0.000876424
13,309.746,1.49846,1.19137,0.97747,0.924,0.10351,0.3986,0.21179,1.58435,2.74709,1.13237,0.000940135,0.000940135,0.000940135
14,334.062,1.48447,1.18563,0.97054,0.9269,0.20622,0.47174,0.24577,1.53959,2.49789,1.12419,0.0010022,0.0010022,0.0010022
